Date,State,Trivandrum,Kollam,Pathanamthitta,Alapuzha,Kottayam,Idukki,Ernakulam,Thrissur,Palakad,Malapuram,Kozhikode,Wayanad,Kannur,Kasargod
13-03-2020,19,3,,9,0,2,0,3,1,0,0,0,,1,0
14-03-2020,19,3,,9,0,2,0,3,1,0,0,0,,1,0
15-03-2020,21,4,,9,0,2,1,3,1,0,0,0,,1,0
16-03-2020,24,4,,9,0,2,1,3,1,0,2,0,,1,1
17-03-2020,24,4,,9,0,2,1,3,1,0,2,0,,1,1
18-03-2020,24,4,,9,0,2,1,3,1,0,2,0,,1,1
19-03-2020,25,4,,9,0,2,1,3,1,0,2,0,,1,2
20-03-2020,37,4,,9,0,2,1,9,1,0,2,0,,1,8
21-03-2020,49,4,,9,0,2,1,12,1,0,2,0,,4,14
22-03-2020,64,4,,9,0,2,1,12,1,0,4,2,,10,19
24-03-2020,91,4,,8,0,4,0,16,2,0,4,3,,15,35
25-03-2020,112,4,,10,1,5,1,20,1,3,5,6,,15,41
26-03-2020,126,4,0,10,1,5,2,15,3,3,8,8,1,24,42
27-03-2020,164,5,1,9,1,5,2,15,4,3,7,9,1,26,76
28-03-2020,165,6,2,9,1,3,2,13,4,4,8,9,1,26,77
29-03-2020,181,8,1,5,1,3,2,14,5,5,9,9,1,38,80
30-03-2020,213,8,1,5,1,3,4,14,5,5,9,9,3,49,97
31-03-2020,215,9,2,5,1,1,4,14,6,5,9,9,3,48,99
01-04-2020,237,10,2,5,1,1,4,17,8,6,11,8,3,51,110
02-04-2020,256,10,4,6,1,1,9,17,9,6,11,9,3,56,114
03-04-2020,251,10,4,5,1,0,7,17,10,6,11,7,3,52,118
04-04-2020,254,9,5,5,2,0,7,18,10,7,11,7,3,47,123
05-04-2020,256,8,5,6,2,0,7,18,10,7,11,11,3,49,119
06-04-2020,266,8,5,7,2,0,7,18,9,7,13,11,3,48,128
07-04-2020,263,7,6,7,1,0,7,14,9,7,14,11,3,46,131
08-04-2020,259,4,6,8,3,0,5,14,7,7,14,9,1,49,132
